section_id,course_id,subject_code,catalog_number,instructors,status,available_seats,waitlist_total,capacity,enrolled,meeting_time,location,instruction_mode,is_asynchronous
,,,,Art Walaszek,OPEN,,,5,0,,,,
,,,,Annemarie Schneider,OPEN,,,24,1,,Engineering Hall 2341,,
,,,,Kelly Eagen,OPEN,,,5,0,,,,
,,,,Kelly Eagen,OPEN,,,5,0,,,,
,,,,Kelly Eagen,OPEN,,,5,1,,,,
,,,,Kelly Eagen,OPEN,,,5,0,,,,
,,,,Kelly Eagen,OPEN,,,5,1,,,,
,,,,Kelly Eagen,OPEN,,,5,1,,,,
,,,,Kelly Eagen,OPEN,,,5,1,,,,
,,,,Kelly Eagen,OPEN,,,5,1,,,,
,,,,Kelly Eagen,OPEN,,,5,0,,,,
,,,,Kelly Eagen,OPEN,,,5,1,,,,
,,,,Kelly Eagen,OPEN,,,5,1,,,,
,,,,Kelly Eagen,OPEN,,,5,0,,,,
,,,,Tim Rhoads,OPEN,,,56,14,,Nutritional Sciences 290,,
,,,,Jennifer Golden,OPEN,,,30,5,,Rennebohm Hall 2006,,
,,,,Quanyin Hu,OPEN,,,30,6,,Rennebohm Hall 2336,,
,,,,Paul Marker,OPEN,,,30,6,,Rennebohm Hall 1116,,
,,,,,OPEN,,,20,5,,North Hall 422,,
,,,,,OPEN,,,20,5,,North Hall 422,,
,,,,,OPEN,,,2,0,,,,
,,,,Art Walaszek,CLOSED,,,2,2,,,,
,,,,Christine Seibert,OPEN,,,5,0,,Online,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,3,0,,Online,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Brian Fox,OPEN,,,25,5,,DeLuca Biochemistry Laboratories 175,,
,,,,Brian Fox,OPEN,,,50,0,,DeLuca Biochemistry Laboratories 175,,
,,,,Lance Longo,OPEN,,,5,0,,,,
,,,,Lance Longo,OPEN,,,5,0,,,,
,,,,Lance Longo,OPEN,,,5,0,,,,
,,,,Lance Longo,OPEN,,,5,0,,,,
,,,,Lance Longo,OPEN,,,5,0,,,,
,,,,Lance Longo,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,2,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,Online,,
,,,,Christine Seibert,OPEN,,,5,0,,Online,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,6,0,,Online,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,6,0,,Online,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Page Moreau,OPEN,,,20,12,,Grainger Hall 3339,,
,,,,Steve Barczi,OPEN,,,5,0,,,,
,,,,Steve Barczi,OPEN,,,5,1,,,,
,,,,Steve Barczi,OPEN,,,5,0,,,,
,,,,Steve Barczi,OPEN,,,5,0,,,,
,,,,Steve Barczi,OPEN,,,5,0,,,,
,,,,Steve Barczi,OPEN,,,5,0,,,,
,,,,Steve Barczi,OPEN,,,2,0,,,,
,,,,Steve Barczi,OPEN,,,2,1,,,,
,,,,Steve Barczi,OPEN,,,5,0,,,,
,,,,Steve Barczi,OPEN,,,2,0,,,,
,,,,Steve Barczi,OPEN,,,5,0,,,,
,,,,Steve Barczi,OPEN,,,2,1,,,,
,,,,Christine Seibert,OPEN,,,2,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,2,0,,,,
,,,,Marc Kalin,OPEN,,,5,0,,,,
,,,,Marc Kalin,OPEN,,,5,1,,,,
,,,,Marc Kalin,OPEN,,,5,0,,,,
,,,,Marc Kalin,OPEN,,,5,1,,,,
,,,,Marc Kalin,OPEN,,,5,2,,,,
,,,,Marc Kalin,OPEN,,,5,1,,,,
,,,,Marc Kalin,OPEN,,,5,0,,,,
,,,,Marc Kalin,OPEN,,,5,0,,,,
,,,,Marc Kalin,OPEN,,,5,0,,,,
,,,,Marc Kalin,OPEN,,,5,0,,,,
,,,,Marc Kalin,OPEN,,,5,0,,,,
,,,,Marc Kalin,OPEN,,,5,0,,,,
,,,,Marc Kalin,OPEN,,,5,0,,,,
,,,,Marc Kalin,OPEN,,,5,0,,,,
,,,,Marc Kalin,OPEN,,,5,0,,,,
,,,,Marc Kalin,OPEN,,,5,0,,,,
,,,,Marc Kalin,OPEN,,,5,0,,,,
,,,,Marc Kalin,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,1,0,,Online,,
,,,,Christine Seibert,OPEN,,,5,0,,Online,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Julia Lubsen,OPEN,,,5,0,,,,
,,,,Julia Lubsen,OPEN,,,5,1,,,,
,,,,Julia Lubsen,OPEN,,,5,1,,,,
,,,,Julia Lubsen,OPEN,,,5,0,,,,
,,,,Julia Lubsen,OPEN,,,5,2,,,,
,,,,Julia Lubsen,OPEN,,,5,0,,,,
,,,,Julia Lubsen,OPEN,,,5,0,,,,
,,,,Julia Lubsen,OPEN,,,5,1,,,,
,,,,Julia Lubsen,OPEN,,,5,2,,,,
,,,,Julia Lubsen,OPEN,,,5,2,,,,
,,,,Julia Lubsen,OPEN,,,8,1,,,,
,,,,Julia Lubsen,OPEN,,,8,1,,,,
,,,,Laura Hoff,OPEN,,,5,0,,,,
,,,,Laura Hoff,OPEN,,,5,0,,,,
,,,,Laura Hoff,OPEN,,,5,1,,,,
,,,,Laura Hoff,OPEN,,,5,0,,,,
,,,,Laura Hoff,OPEN,,,5,1,,,,
,,,,Laura Hoff,OPEN,,,5,0,,,,
,,,,Laura Hoff,OPEN,,,5,1,,,,
,,,,Laura Hoff,OPEN,,,5,1,,,,
,,,,Laura Hoff,OPEN,,,5,0,,,,
,,,,Laura Hoff,OPEN,,,5,0,,,,
,,,,Laura Hoff,OPEN,,,2,0,,,,
,,,,Laura Hoff,OPEN,,,5,0,,,,
,,,,Laura Hoff,OPEN,,,5,0,,,,
,,,,Laura Hoff,OPEN,,,5,0,,,,
,,,,Elizabeth Mcbride,OPEN,,,6,0,,,,
,,,,Elizabeth Mcbride,OPEN,,,5,0,,,,
,,,,Elizabeth Mcbride,OPEN,,,5,0,,,,
,,,,Elizabeth Mcbride,OPEN,,,5,0,,,,
,,,,Elizabeth Mcbride,OPEN,,,5,1,,,,
,,,,Elizabeth Mcbride,OPEN,,,5,0,,,,
,,,,Elizabeth Mcbride,OPEN,,,5,1,,,,
,,,,Elizabeth Mcbride,OPEN,,,5,1,,,,
,,,,Elizabeth Mcbride,OPEN,,,5,1,,,,
,,,,Elizabeth Mcbride,OPEN,,,5,0,,,,
,,,,Elizabeth Mcbride,OPEN,,,5,1,,,,
,,,,Elizabeth Mcbride,OPEN,,,5,1,,,,
,,,,Elizabeth Mcbride,CLOSED,,,1,1,,,,
,,,,Christine Seibert,OPEN,,,2,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Joshua Dienstag,OPEN,,,25,5,,North Hall 422,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,2,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,Online,,
,,,,Nicole Bonk,OPEN,,,5,0,,,,
,,,,Nicole Bonk,OPEN,,,5,0,,,,
,,,,Nicole Bonk,OPEN,,,5,0,,,,
,,,,Nicole Bonk,OPEN,,,5,0,,,,
,,,,Nicole Bonk,OPEN,,,5,0,,,,
,,,,Nicole Bonk,OPEN,,,5,0,,,,
,,,,Nicole Bonk,OPEN,,,5,0,,,,
,,,,Nicole Bonk,OPEN,,,5,0,,,,
,,,,Nicole Bonk,OPEN,,,5,0,,,,
,,,,Nicole Bonk,OPEN,,,5,0,,,,
,,,,Nicole Bonk,OPEN,,,5,0,,,,
,,,,Nicole Bonk,OPEN,,,5,0,,,,
,,,,Nicole Bonk,OPEN,,,5,0,,,,
,,,,Nicole Bonk,OPEN,,,5,0,,,,
,,,,Nicole Bonk,OPEN,,,5,0,,,,
,,,,James Conway,OPEN,,,20,0,,Online,,
,,,,James Conway,OPEN,,,5,0,,,,
,,,,James Conway,OPEN,,,5,0,,Online,,
,,,,James Conway,OPEN,,,5,0,,Online,,
,,,,Laura Zakowski,OPEN,,,34,0,,,,
,,,,Laura Zakowski,OPEN,,,34,0,,,,
,,,,Laura Zakowski,OPEN,,,34,3,,,,
,,,,Laura Zakowski,OPEN,,,34,6,,,,
,,,,Laura Zakowski,OPEN,,,34,14,,,,
,,,,Laura Zakowski,OPEN,,,34,8,,,,
,,,,"Laura Hoff, Katharina Stewart",OPEN,,,10,0,,,,
,,,,"Laura Hoff, Katharina Stewart",OPEN,,,10,0,,,,
,,,,"Laura Hoff, Katharina Stewart",OPEN,,,10,0,,,,
,,,,"Laura Hoff, Katharina Stewart",OPEN,,,10,0,,,,
,,,,"Laura Hoff, Katharina Stewart",OPEN,,,10,0,,,,
,,,,"Laura Hoff, Katharina Stewart",OPEN,,,10,0,,,,
,,,,"Patrick Peebles, Adam Bauer",OPEN,,,20,0,,,,
,,,,"Patrick Peebles, Adam Bauer",OPEN,,,20,0,,,,
,,,,"Patrick Peebles, Adam Bauer",OPEN,,,20,1,,,,
,,,,"Patrick Peebles, Adam Bauer",OPEN,,,20,1,,,,
,,,,"Patrick Peebles, Adam Bauer",OPEN,,,20,2,,,,
,,,,"Patrick Peebles, Adam Bauer",OPEN,,,20,2,,,,
,,,,Amber Shada,OPEN,,,20,0,,,,
,,,,Amber Shada,OPEN,,,20,0,,,,
,,,,Amber Shada,OPEN,,,20,1,,,,
,,,,Amber Shada,OPEN,,,25,3,,,,
,,,,Christopher Doro,OPEN,,,1,0,,,,
,,,,Christopher Doro,OPEN,,,1,0,,,,
,,,,Christopher Doro,OPEN,,,2,1,,Online,,
,,,,Jeff Grzybowski,OPEN,,,5,2,,,,
,,,,Jeff Grzybowski,OPEN,,,2,0,,,,
,,,,Jeff Grzybowski,OPEN,,,10,2,,,,
,,,,Jeff Grzybowski,OPEN,,,10,2,,,,
,,,,Kenneth Cameron,OPEN,,,10,4,,Birge Hall 348,,
,,,,Kenneth Cameron,OPEN,,,10,4,,Birge Hall 348,,
,,,,Dan Weix,OPEN,,,97,17,,Chemistry Building 1315,,
,,,,Gay Seidman,OPEN,,,18,1,,Sewell Social Sciences 6105,,
,,,,Barbara Sramek,OPEN,,,24,12,,Education Building L177,,
,,,,Christopher Saldana,OPEN,,,24,15,,Education Building 151,,
,,,,Barbara Sramek,OPEN,,,24,12,,Education Building L177,,
,,,,Frederick Krauss,OPEN,,,25,5,,ONLINE,,
,,,,Ain Grooms,OPEN,,,15,9,,Van Vleck Hall B215,,
,,,,Christopher Saldana,OPEN,,,24,15,,Education Building 151,,
,,,,Xueli Wang,CLOSED,,,18,18,,Van Hise Hall 586,,
,,,,Xueli Wang,CLOSED,,,18,18,,Van Hise Hall 586,,
,,,,Ain Grooms,OPEN,,,15,9,,Van Vleck Hall B215,,
,,,,Frederick Krauss,OPEN,,,25,5,,ONLINE,,
,,,,,CLOSED,,,2,2,,,,
,,,,,CLOSED,,,2,2,,,,
,,,,,CLOSED,,,2,2,,,,
,,,,Robert Schnur,WAITLISTED,,,16,16,,Law Building 3268,,
,,,,Robert Misey,OPEN,,,10,2,,Grainger Hall 1190,,
,,,,David Blotner,OPEN,,,20,3,,Law Building 3247,,
,,,,Joshua Braver,OPEN,,,18,11,,Law Building 2266,,
,,,,David Blotner,OPEN,,,20,3,,Law Building 3247,,
,,,,"Heinz Klug, Reut Paz",OPEN,,,49,9,,Law Building 3260,,
,,,,Kathryn Hendley,OPEN,,,24,13,,Law Building 3268,,
,,,,Robert Schnur,WAITLISTED,,,16,16,,Law Building 3268,,
,,,,David Schwartz,OPEN,,,45,8,,Law Building 2225,,
,,,,Amanda WhiteEagle,OPEN,,,20,6,,Law Building 2225,,
,,,,Everett Mitchell,OPEN,,,30,23,,Law Building 2211,,
,,,,Abby Churchill,OPEN,,,25,10,,Law Building 5223,,
,,,,Robert Misey,OPEN,,,10,2,,Grainger Hall 1190,,
,,,,Joel Rogers,OPEN,,,24,5,,Law Building 3247,,
,,,,Morgan Young,WAITLISTED,,,25,24,,Law Building 3253,,
,,,,Everett Mitchell,OPEN,,,30,23,,Law Building 2211,,
,,,,David Schwartz,OPEN,,,45,8,,Law Building 2225,,
,,,,Joshua Braver,OPEN,,,18,11,,Law Building 2266,,
,,,,Morgan Young,WAITLISTED,,,25,24,,Law Building 3253,,
,,,,"Heinz Klug, Reut Paz",OPEN,,,49,9,,Law Building 3260,,
,,,,Amanda WhiteEagle,OPEN,,,20,6,,Law Building 2225,,
,,,,Joel Rogers,OPEN,,,24,5,,Law Building 3247,,
,,,,Kathryn Hendley,OPEN,,,24,13,,Law Building 3268,,
,,,,Abby Churchill,OPEN,,,25,10,,Law Building 5223,,
,,,,,OPEN,,,18,14,,,,
,,,,Mark Moss,OPEN,,,5,0,,,,
,,,,Mark Moss,OPEN,,,5,1,,Online,,
,,,,Mark Moss,OPEN,,,5,0,,,,
,,,,Mark Moss,OPEN,,,5,2,,Online,,
,,,,Mark Moss,OPEN,,,5,1,,,,
,,,,Mark Moss,OPEN,,,5,1,,,,
,,,,Mark Moss,OPEN,,,5,1,,,,
,,,,Mark Moss,OPEN,,,5,1,,,,
,,,,Mark Moss,OPEN,,,5,0,,,,
,,,,Mark Moss,OPEN,,,5,1,,,,
,,,,Mark Moss,OPEN,,,5,2,,Online,,
,,,,Mark Moss,OPEN,,,5,2,,,,
,,,,Malachy Bishop,OPEN,,,1,0,,Online,,
,,,,Jina Chun,OPEN,,,3,0,,Online,,
,,,,Timothy Tansey,OPEN,,,3,1,,Online,,
,,,,Susan Smedema,OPEN,,,5,0,,Online,,
,,,,Gay Seidman,OPEN,,,18,14,,Sewell Social Sciences 6105,,
,,,,Greta Kuphal,OPEN,,,5,0,,,,
,,,,Greta Kuphal,OPEN,,,5,0,,,,
,,,,Greta Kuphal,OPEN,,,5,0,,,,
,,,,Greta Kuphal,OPEN,,,5,1,,,,
,,,,Greta Kuphal,OPEN,,,5,0,,,,
,,,,Greta Kuphal,CLOSED,,,1,1,,,,
,,,,Greta Kuphal,OPEN,,,5,1,,,,
,,,,Greta Kuphal,OPEN,,,5,1,,,,
,,,,Greta Kuphal,OPEN,,,5,0,,,,
,,,,Greta Kuphal,OPEN,,,5,1,,,,
,,,,Greta Kuphal,OPEN,,,5,1,,,,
,,,,Greta Kuphal,OPEN,,,5,1,,,,
,,,,Greta Kuphal,OPEN,,,5,0,,,,
,,,,Greta Kuphal,CLOSED,,,1,1,,,,
,,,,Greta Kuphal,OPEN,,,1,0,,,,
,,,,Paul Terwilliger,OPEN,,,20,1,,Van Vleck Hall 901,,
,,,,Jose Rodriguez,OPEN,,,20,1,,Van Vleck Hall 901,,
,,,,Andrei Caldararu,OPEN,,,20,9,,Van Vleck Hall B321,,
,,,,,OPEN,,,18,0,,,,
,,,,Jim Gern,OPEN,,,5,0,,,,
,,,,Jim Gern,OPEN,,,5,0,,,,
,,,,Jim Gern,OPEN,,,5,0,,,,
,,,,Jim Gern,OPEN,,,5,0,,,,
,,,,Jim Gern,OPEN,,,5,0,,,,
,,,,Jim Gern,OPEN,,,5,0,,,,
,,,,Jim Gern,OPEN,,,5,0,,,,
,,,,Jim Gern,OPEN,,,5,0,,,,
,,,,Jim Gern,OPEN,,,5,0,,,,
,,,,Jim Gern,OPEN,,,5,0,,,,
,,,,Jim Gern,OPEN,,,5,0,,,,
,,,,Jim Gern,OPEN,,,5,0,,,,
,,,,Jimmy Goodrich,OPEN,,,12,11,,Helen C. White Hall 5181,,
,,,,Andrea Ruppar,OPEN,,,2,0,,Online,,
,,,,Carlyn Mueller,OPEN,,,2,0,,Online,,
,,,,Hailey Love,OPEN,,,2,0,,Online,,
,,,,Beverly Trezek,OPEN,,,2,0,,Online,,
,,,,Zhe An,OPEN,,,2,0,,Online,,
,,,,Kimber Wilkerson,OPEN,,,2,0,,Online,,
,,,,Aydin Bal,OPEN,,,2,1,,Online,,
,,,,Sissel Schroeder,OPEN,,,10,5,,Sewell Social Sciences 5230,,
,,,,Sissel Schroeder,OPEN,,,10,5,,Sewell Social Sciences 5230,,
,,,,,CLOSED,,,12,14,,,,
,,,,"Daniel Modaff, Mohammad Mortada",OPEN,,,10,1,,,,
,,,,"Daniel Modaff, Mohammad Mortada",OPEN,,,5,0,,,,
,,,,"Daniel Modaff, Mohammad Mortada",OPEN,,,5,0,,,,
,,,,"Daniel Modaff, Mohammad Mortada",OPEN,,,5,1,,,,
,,,,"Daniel Modaff, Mohammad Mortada",OPEN,,,5,1,,,,
,,,,"Daniel Modaff, Mohammad Mortada",OPEN,,,5,2,,,,
,,,,"Daniel Modaff, Mohammad Mortada",OPEN,,,5,1,,,,
,,,,"Daniel Modaff, Mohammad Mortada",OPEN,,,5,1,,,,
,,,,"Daniel Modaff, Mohammad Mortada",OPEN,,,5,1,,,,
,,,,"Daniel Modaff, Mohammad Mortada",OPEN,,,5,2,,,,
,,,,"Daniel Modaff, Mohammad Mortada",OPEN,,,5,0,,,,
,,,,Mary Ehlenbach,OPEN,,,5,0,,,,
,,,,Mary Ehlenbach,OPEN,,,5,1,,,,
,,,,Mary Ehlenbach,OPEN,,,2,0,,,,
,,,,Mary Ehlenbach,OPEN,,,5,0,,,,
,,,,Mary Ehlenbach,OPEN,,,2,0,,,,
,,,,Mary Ehlenbach,OPEN,,,2,0,,,,
,,,,Mary Ehlenbach,OPEN,,,5,0,,,,
,,,,Mary Ehlenbach,CLOSED,,,0,0,,,,
,,,,Mary Ehlenbach,OPEN,,,5,1,,,,
,,,,Mary Ehlenbach,OPEN,,,5,1,,,,
,,,,Mary Ehlenbach,OPEN,,,5,0,,,,
,,,,Mary Ehlenbach,OPEN,,,5,0,,,,
,,,,Mary Ehlenbach,OPEN,,,5,1,,,,
,,,,Mary Ehlenbach,OPEN,,,5,1,,,,
,,,,Dian Mawene,OPEN,,,3,0,,Online,,
,,,,Heather Tiller,OPEN,,,2,0,,Online,,
,,,,Ashley White,OPEN,,,2,0,,Online,,
,,,,Andrea Ruppar,OPEN,,,2,0,,Online,,
,,,,Hailey Love,OPEN,,,2,1,,Online,,
,,,,Beverly Trezek,OPEN,,,2,0,,Online,,
,,,,Zhe An,OPEN,,,2,0,,Online,,
,,,,Aydin Bal,OPEN,,,2,0,,Online,,
,,,,Kristy Kelly,OPEN,,,20,8,,,,
,,,,Kristy Kelly,OPEN,,,15,0,,,,
,,,,Kirstin Nackers,OPEN,,,5,1,,,,
,,,,Kirstin Nackers,OPEN,,,5,0,,,,
,,,,Kirstin Nackers,OPEN,,,5,0,,,,
,,,,Kirstin Nackers,OPEN,,,8,0,,,,
,,,,Kirstin Nackers,OPEN,,,8,1,,,,
,,,,Kirstin Nackers,OPEN,,,8,1,,,,
,,,,Kirstin Nackers,OPEN,,,5,0,,,,
,,,,Kirstin Nackers,OPEN,,,5,0,,,,
,,,,Kirstin Nackers,OPEN,,,5,0,,,,
,,,,Helen Blackwell,OPEN,,,30,0,,DeLuca Biochemistry Building 1116,,
,,,,Helen Blackwell,OPEN,,,30,5,,DeLuca Biochemistry Building 1116,,
,,,,"William Tracy, Michael Bell",OPEN,,,25,0,,Agricultural Hall 354A,,
,,,,"William Tracy, Michael Bell",OPEN,,,25,0,,Agricultural Hall 354A,,
,,,,Pajarita Charles,OPEN,,,15,2,,School of Social Work Building 106,,
,,,,Suhail Allaqaband,OPEN,,,5,0,,,,
,,,,Suhail Allaqaband,OPEN,,,5,0,,,,
,,,,Suhail Allaqaband,OPEN,,,5,0,,,,
,,,,Suhail Allaqaband,OPEN,,,5,0,,Online,,
,,,,Suhail Allaqaband,OPEN,,,5,0,,,,
,,,,Suhail Allaqaband,OPEN,,,5,0,,,,
,,,,Suhail Allaqaband,OPEN,,,5,1,,,,
,,,,Suhail Allaqaband,OPEN,,,3,0,,,,
,,,,Suhail Allaqaband,OPEN,,,5,0,,,,
,,,,Suhail Allaqaband,OPEN,,,5,1,,Online,,
,,,,Suhail Allaqaband,OPEN,,,5,0,,Online,,
,,,,Suhail Allaqaband,OPEN,,,5,2,,,,
,,,,Suhail Allaqaband,OPEN,,,2,1,,,,
,,,,Andrew Kydd,OPEN,,,20,9,,North Hall 422,,
,,,,Megan Baumunk,OPEN,,,15,4,,Mosse Humanities Building 2637,,
,,,,Pajarita Charles,OPEN,,,12,3,,School of Social Work Building 106,,
,,,,"William Tracy, Michael Bell",OPEN,,,25,3,,Agricultural Hall 354A,,
,,,,"William Tracy, Michael Bell",OPEN,,,25,3,,Agricultural Hall 354A,,
,,,,Amy Lewis,CLOSED,,,0,0,,Mosse Humanities Building 2541,,
,,,,Amy Lewis,OPEN,,,10,7,,Mosse Humanities Building 2541,,
,,,,Tova Walsh,OPEN,,,10,2,,School of Social Work Building 300,,
,,,,Jacqueline Landess,OPEN,,,5,0,,,,
,,,,Jacqueline Landess,OPEN,,,5,0,,,,
,,,,Jacqueline Landess,OPEN,,,5,0,,,,
,,,,Jacqueline Landess,OPEN,,,5,1,,,,
,,,,Jacqueline Landess,OPEN,,,1,0,,,,
,,,,Jacqueline Landess,OPEN,,,5,0,,,,
,,,,Jacqueline Landess,OPEN,,,5,0,,,,
,,,,Jacqueline Landess,OPEN,,,1,0,,,,
,,,,Craig Albers,OPEN,,,15,6,,Brogden Psychology Building 130,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,8,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Christine Seibert,OPEN,,,5,0,,,,
,,,,Jeremy Morris,OPEN,,,15,9,,Vilas Hall 4008,,
,,,,Jeff Smith,OPEN,,,12,5,,Vilas Hall 6041,,
,,,,Lori Lopez,OPEN,,,20,14,,Armory and Gymnasium (Red Gym) 243,,
,,,,Amit Bernstein,OPEN,,,15,9,,Educational Sciences 218,,
,,,,Rachel Kuo,OPEN,,,5,3,,Agricultural Engineering Building 101,,
,,,,Rachel Kuo,OPEN,,,5,3,,Agricultural Engineering Building 101,,
,,,,Rachel Kuo,WAITLISTED,,,7,6,,Van Vleck Hall B115,,
,,,,Rachel Kuo,WAITLISTED,,,7,6,,Van Vleck Hall B115,,
,,,,Erin Mcgowan,OPEN,,,20,14,,Medical Sciences Center 6225,,
,,,,David Simon,WAITLISTED,,,18,17,,Law Building 3268,,
,,,,Kristopher Turner,OPEN,,,50,47,,Law Building 5246,,
,,,,,OPEN,,,24,7,,Law Building 2211,,
,,,,Julie Baldwin,OPEN,,,45,15,,Law Building 2225,,
,,,,"Gregory Everts, Michael Leffel",OPEN,,,46,5,,Law Building 3253,,
,,,,Jason Knutson,OPEN,,,16,14,,Law Building 3247,,
,,,,David Schwartz,OPEN,,,30,29,,Law Building 2260,,
,,,,Tonya Brito,OPEN,,,49,0,,Online,,
,,,,Daniel Vande Zande,OPEN,,,25,13,,Law Building 2266,,
,,,,Tonya Brito,OPEN,,,49,0,,Online,,
,,,,Julie Baldwin,OPEN,,,45,15,,Law Building 2225,,
,,,,,OPEN,,,24,7,,Law Building 2211,,
,,,,David Schwartz,OPEN,,,30,29,,Law Building 2260,,
,,,,David Simon,WAITLISTED,,,18,17,,Law Building 3268,,
,,,,Daniel Vande Zande,OPEN,,,25,13,,Law Building 2266,,
,,,,Kristopher Turner,OPEN,,,50,47,,Law Building 5246,,
,,,,Jason Knutson,OPEN,,,16,14,,Law Building 3247,,
,,,,"Gregory Everts, Michael Leffel",OPEN,,,46,5,,Law Building 3253,,
,,,,David Allen,OPEN,,,5,0,,,,
,,,,David Allen,OPEN,,,5,0,,,,
,,,,David Allen,OPEN,,,5,0,,,,
,,,,David Allen,OPEN,,,5,0,,,,
,,,,David Allen,OPEN,,,5,1,,,,
,,,,David Allen,OPEN,,,5,0,,,,
,,,,David Allen,OPEN,,,5,0,,,,
,,,,David Allen,OPEN,,,5,0,,,,
,,,,David Allen,OPEN,,,1,0,,,,
,,,,Marah Curtis,OPEN,,,15,6,,School of Social Work Building 106,,
,,,,Marah Curtis,OPEN,,,15,6,,School of Social Work Building 106,,
,,,,Zubin DeVitre,OPEN,,,15,8,,Education Building 327,,
,,,,Patrick Rumble,OPEN,,,20,13,,Van Hise Hall 595,,
,,,,Patrick Rumble,OPEN,,,20,13,,Van Hise Hall 595,,
,,,,Alex Waldron,OPEN,,,5,2,,Van Vleck Hall 901,,
,,,,Caglar Uyanik,OPEN,,,20,2,,Van Vleck Hall B123,,
,,,,Parag Tipnis,OPEN,,,5,1,,,,
,,,,Parag Tipnis,OPEN,,,5,0,,,,
,,,,Parag Tipnis,OPEN,,,5,1,,,,
,,,,Parag Tipnis,OPEN,,,5,0,,,,
,,,,Parag Tipnis,OPEN,,,5,1,,,,
,,,,Parag Tipnis,OPEN,,,5,1,,,,
,,,,Parag Tipnis,OPEN,,,5,1,,,,
,,,,Parag Tipnis,OPEN,,,5,1,,,,
,,,,Parag Tipnis,OPEN,,,5,1,,,,
,,,,Parag Tipnis,OPEN,,,5,0,,,,
,,,,Parag Tipnis,OPEN,,,5,0,,,,
,,,,Parag Tipnis,OPEN,,,5,1,,,,
,,,,Kjersti Knox,OPEN,,,16,0,,,,
,,,,"Francine Hirsch, Emma Kuby",OPEN,,,15,10,,Mosse Humanities Building 5255,,
,,,,Monica Turner,OPEN,,,25,0,,Birge Hall 158,,
,,,,Monica Turner,OPEN,,,25,0,,Birge Hall 158,,
,,,,Monica Turner,OPEN,,,25,2,,Birge Hall 158,,
,,,,William Aughenbaugh,OPEN,,,5,1,,,,
,,,,William Aughenbaugh,OPEN,,,5,0,,,,
,,,,William Aughenbaugh,OPEN,,,10,0,,,,
,,,,William Aughenbaugh,OPEN,,,5,0,,,,
,,,,William Aughenbaugh,OPEN,,,5,0,,,,
,,,,William Aughenbaugh,OPEN,,,5,3,,,,
,,,,William Aughenbaugh,OPEN,,,5,4,,,,
,,,,William Aughenbaugh,OPEN,,,5,3,,,,
,,,,William Aughenbaugh,OPEN,,,5,3,,,,
,,,,William Aughenbaugh,OPEN,,,5,0,,,,
,,,,William Aughenbaugh,OPEN,,,5,0,,,,
,,,,William Aughenbaugh,OPEN,,,5,1,,,,
,,,,William Aughenbaugh,OPEN,,,5,0,,,,
,,,,William Aughenbaugh,OPEN,,,5,0,,,,
,,,,William Aughenbaugh,OPEN,,,5,0,,,,
,,,,William Aughenbaugh,OPEN,,,5,0,,,,
,,,,William Aughenbaugh,OPEN,,,5,1,,,,
,,,,Monica Turner,OPEN,,,25,1,,Birge Hall 158,,
